file,prompt
CapyDados.html,"Analise o seguinte documento com a instrução: ""${analiseTipo}"".\n\nDocumento (primeiros 15000 caracteres):\n---\n${textoDoc.substring(0, 15000)}\n---"
CapyDecisao.html,"Aja como CapyDecisao, um assistente jurídico de IA. Analise o seguinte caso:
  """"""
  ${caseDescription}
  """"""
  Forneça uma análise em JSON com as chaves: ""decisionLines"" (string Markdown com 2-3 desfechos e probabilidades), ""relevantPrecedents"" (string Markdown com 2-3 jurisprudências/artigos), ""keyArguments"" (objeto com arrays ""favorable"" e ""opposing""), e ""suggestedPetition"" (string com um rascunho de petição).
  Responda APENAS com o objeto JSON."
CapyFiscal.html,"Aja como CapyFiscal, um assistente IA especializado em questões fiscais.
  Dúvida: ""${query}""
  Jurisdição: ""${dom.jurisdictionInput.value.trim() || 'Geral'}""
  Nível de Complexidade: ""${dom.complexityLevelSelect.value}""
  Forneça uma resposta informativa e clara. Use Markdown simples."
CapyFlow-main\main.js,"${core}, style: ${styleLabel}, ${effect}, high detail, crisp focus, ${ratio}, --negatives: ${negatives}"
CapyFlow-main\main.js,"Responda **apenas** com um arquivo HTML completo, auto-contido (CSS e JS inline), sem comentários fora das tags e sem explicações. Não use markdown."
CapyFlow\main.js,"${core}, style: ${styleLabel}, ${effect}, high detail, crisp focus, ${ratio}, --negatives: ${negatives}"
CapyFlow\main.js,"Responda **apenas** com um arquivo HTML completo, auto-contido (CSS e JS inline), sem comentários fora das tags e sem explicações. Não use markdown."
CapyGrana.html,"Aja como CapyGrana, um consultor financeiro pessoal. Analise os seguintes dados:
  - Objetivo: ""${dom.financialGoalInput.value.trim()}""
  - Rendimento Mensal: ${dom.incomeInput.value.trim() || ""Não informado""}
  - Despesas Fixas: ${dom.expensesInput.value.trim() || ""Não informado""}
  - Situação Adicional: ${dom.financialSituationArea.value.trim() || ""Nenhuma""}
  - Tipo de Conselho: ""${dom.adviceTypeSelect.value}""
  Forneça conselhos claros e acionáveis. Use Markdown."
capyaudiencias.html,"Analise a ata de audiência e extraia as informações em JSON com chaves ""decisoes"", ""proximosPassos"", ""partesEnvolvidas"".\n\nAta:\n""""""${ataText}"""""""
capybranding.html,"Crie sugestões de branding para uma empresa com público-alvo ""${targetAudience}"" e valores ""${companyValues}"". Estilo: ""${dom.creationStyleSelect.value}"". Use ""${dom.brandSuggestionInput.value.trim()}"" como inspiração. Formate em Markdown com seções para Nomes, Slogan, Paleta de Cores, Tipografia, Tom de Voz, e um prompt para gerar um logotipo."
capybula.html,"Forneça informações sobre ""${drugName}"" em JSON com chaves ""indicacoes"", ""contraindicacoes"", ""efeitosColaterais"", ""interacoesMedicamentosas""."
capybyte.html,"Você é o CapyByte, um Oráculo Tecnológico. Analise: ""${problemDescription}"". Responda em JSON com chaves: ""diagnosis"", ""rootCause"", ""stepByStepSolution"" (com \n), e ""suggestedComponents""."
capychart.html,"Crie um dashboard HTML completo com TailwindCSS e Chart.js. Analise os dados: ${JSON.stringify(inputData)}. Inclua 2-4 insights e gráficos relevantes. Responda APENAS com o código HTML."
capycid.html,"Explique o CID ${cidCode} detalhadamente, incluindo implicações, sintomas e tratamento geral, de forma clara e precisa."
capycid.html,"Analise esta imagem de receita. Identifique os medicamentos, dosagens e finalidades. Reforce a importância de seguir as instruções médicas."
capyclt.html,"Analise o seguinte documento da CLT e extraia as informações mais relevantes:\n\n${text.substring(0, 5000)}"
capyclt.html,"Resuma os pontos chave da CLT no texto: ""${text}"""
capyconciliador.html,"Aja como ""CapyConciliador"", um mediador e advogado experiente focado em encontrar soluções amigáveis para disputas.
  Analise a seguinte descrição de caso e os parâmetros de negociação para gerar 3 sugestões de acordo distintas e realistas.

  **Descrição do Caso:**
  """"""
  ${caseDesc}
  """"""

  **Parâmetros de Negociação (0 = baixo, 100 = alto):**
  - Risco do Caso (para o seu cliente): ${dom.riskSlider.value}
  - Urgência de Resolução: ${dom.urgencySlider.value}
  - Custo Estimado do Litígio: ${dom.costSlider.value}

  Para cada sugestão, forneça os seguintes detalhes em formato JSON. A resposta final deve ser um array de objetos JSON.

  **Formato de Resposta JSON:**
  [
  {
  ""valorSugerido"": ""Descreva o valor monetário ou a principal condição do acordo (ex: 'R$ 15.000,00 em 3 parcelas', 'Devolução do produto e pedido de desculpas formal')."",
  ""pontosFortes"": [""Liste o principal benefício desta sugestão."", ""Liste outro ponto positivo, como rapidez ou baixo custo.""],
  ""pontosFracos"": [""Liste uma possível desvantagem ou o que se está abrindo mão."", ""Liste outro ponto a ser considerado.""],
  ""impactoLegal"": ""Descreva brevemente o impacto legal deste acordo (ex: 'Quitação total das obrigações, sem reconhecimento de culpa.', 'Encerramento do processo com resolução de mérito.')""
  }
  ]

  Gere 3 objetos no array, variando as propostas desde uma mais conservadora até uma mais ousada, considerando os parâmetros de risco e urgência.
  Seja criativo, mas mantenha as sugestões plausíveis dentro de um contexto jurídico.
  Responda APENAS com o array JSON."
capyconciliador.html,"Aja como ""CapyAdvogado"", um especialista em redação de documentos jurídicos.
  Com base na descrição do caso e na sugestão de acordo específica abaixo, elabore uma minuta de ""Termo de Acordo Extrajudicial"".

  **Descrição do Caso:**
  """"""
  ${caseDesc}
  """"""

  **Sugestão de Acordo Escolhida:**
  - Termos Principais: ""${suggestionData.valorSugerido}""
  - Impacto Legal Previsto: ""${suggestionData.impactoLegal}""

  **Instruções para a Minuta:**
  1.  Crie um título claro: ""TERMO DE ACORDO EXTRAJUDICIAL"".
  2.  Inclua uma seção para a qualificação das partes, usando placeholders claros (ex: [NOME COMPLETO PARTE A], [CPF/CNPJ], [ENDEREÇO COMPLETO]).
  3.  Descreva o ""OBJETO DO ACORDO"" de forma sucinta, com base na descrição do caso.
  4.  Detalhe as ""CLÁUSULAS E CONDIÇÕES"", incorporando os termos da sugestão de acordo (valor, forma de pagamento, obrigações de fazer/não fazer, etc.).
  5.  Adicione uma cláusula de ""QUITAÇÃO"", mencionando o impacto legal previsto.
  6.  Finalize com placeholders para local, data e assinaturas das partes e testemunhas.
  7.  Inclua um aviso final, em negrito, de que ""Este documento é uma minuta preliminar gerada por IA e deve ser revisada e ajustada por um profissional do direito antes de sua utilização.""

  Responda apenas com o texto completo da minuta, formatado para ser lido em um editor de texto."
capycopy.html,"Gere 3 a 5 variações de copy para um anúncio. Produto: ${productName.value}. Público: ${targetAudience.value}. Benefício: ${mainBenefit.value}. Plataforma: ${platform.value}. Tom: ${tone.value}. Responda em JSON: [{""title"": ""..."", ""body"": ""...""}]."
capycurriculo.html,"Analise o CV em relação à vaga. CV: ""${cvText}"". Vaga: ""${jobDescription}"". Responda em JSON com chaves: matchScore, matchRationale, cvStrengths, cvImprovements, missingKeywordsFromJob, suggestedSkillsForRadar (com jobSkills e cvSkillsMatchScore), e coverLetterDraft."
capydebate.html,"Aja como CapyDebate. Tópico: ""${debateTopic}"". O usuário está ${userStance}. Defenda a posição oposta."
capydetector.html,"Analise o texto e estime a probabilidade de ter sido gerado por IA. Responda em JSON com chaves ""likelihood"" (string: ""Muito alta"", ""Alta"", ""Moderada"", ""Baixa"", ""Muito baixa"") e ""explanation"" (string). Texto: ""${textToAnalyze}"""
capydidatica.html,"Crie um plano de aula sobre ""${topic}"". Público: ${document.getElementById('target-audience').value}. Duração: ${document.getElementById('lesson-duration').value}. Objetivos: ${document.getElementById('learning-objectives').value}. Responda em Markdown."
capyemail.html,"Gere um e-mail para ""${recipient}"". Objetivo: ""${document.getElementById('email-objective').value}"". Tom: ${document.getElementById('email-tone').value}. Pontos: ""${document.getElementById('key-points').value}""."
capyescritor.html,"Gere um texto do tipo ""${document.getElementById('text-type').value}"" sobre ""${topic}"" com um tom ${document.getElementById('text-tone').value}."
capyexcel.html,"Aja como CapyExcel. Dúvida: ""${query}"". Nível: ${document.getElementById('experience-level').value}. Software: ${document.getElementById('software-type').value}. Responda em Markdown."
capyexplica.html,"Explique ""${textToExplain}"" para um(a) ${document.getElementById('target-audience').value} de forma ${document.getElementById('explanation-depth').value}."
capyfix.html,"Aja como CapyFix. Analise o código em ${document.getElementById('language').value} com o problema: ""${document.getElementById('problem').value}"". Código: \"
capyflashcards.html,"Gere ${document.getElementById('num-flashcards').value} flashcards sobre ""${topic}"" no nível ${document.getElementById('difficulty-level').value}. Responda em JSON: [{""front"": ""..."", ""back"": ""...""}]."
capyhistoriador.html,"Aja como CapyHistoriador, um historiador erudito e um excelente contador de histórias.
  Um utilizador deseja saber mais sobre: ""${query}"".
  Especificamente, ele procura por: ""${queryType}"".
  O nível de detalhe desejado é: ""${detailLevel}"".

  Forneça uma resposta informativa e envolvente. 
  Se for um resumo, que seja claro e abranja os pontos principais.
  Se for sobre causas e consequências, explique as ligações de forma lógica.
  Se for sobre figuras, destaque o seu papel e importância.
  Para datas e eventos chave, crie uma pequena linha do tempo ou lista.
  Se for sobre o impacto atual, trace paralelos relevantes.
  Para curiosidades, traga factos interessantes e menos conhecidos.

  Adapte a profundidade da resposta ao nível de detalhe solicitado.
  Use Markdown simples para formatação (títulos, listas, negrito, itálico).
  Responda APENAS com a informação histórica solicitada."
capyimgtxt.html,"Analise a imagem fornecida e gere um objeto JSON com duas chaves principais: ""prompt_texto"" e ""analise_detalhada"".

1.  A chave ""prompt_texto"" deve conter um prompt otimizado e detalhado para um gerador de imagem IA, descrevendo a imagem em termos de:
  - Objetos: Liste e descreva os elementos visuais presentes.
  - Paleta de cores: Mencione as cores principais.
  - Texturas: Descreva as texturas visuais.
  - Composição: Analise o arranjo dos elementos, perspectiva e enquadramento.
  - Iluminação: Detalhe a fonte, direção, tipo e efeitos de luz.
  - Estilo: Descreva o estilo visual e características específicas (ex: fotorrealista, alta qualidade, 8k, detalhado, renderização profissional).

2.  A chave ""analise_detalhada"" deve ser um objeto contendo as seguintes sub-chaves:
  - ""cores_dominantes"": Um array de objetos, onde cada objeto tem ""text"" (nome da cor) e ""hex"" (código hexadecimal aproximado da cor).
  - ""estilo"": Um array de strings descrevendo o estilo.
  - ""iluminacao"": Um array de strings descrevendo a iluminação.

Exemplo de formato de saída JSON esperado:
{
  ""prompt_texto"": ""Um gato laranja sentado em uma janela, observando uma paisagem urbana ao pôr do sol, com prédios altos ao fundo e luzes acesas. Paleta de cores: laranja vibrante, marrom dourado, preto profundo. Texturas: pelo macio e detalhado do animal, superfície lisa do vidro da janela, texturas urbanas ao fundo, acabamento fosco em algumas áreas. Composição: composição landscape equilibrada, elementos distribuídos seguindo regra dos terços, perspectiva urbana com profundidade. Iluminação: iluminação dourada do pôr do sol, luz natural difusa e quente, contraste suave entre luzes e sombras, reflexos dourados nas superfícies. Estilo: estilo fotorrealista com detalhes nítidos, cores quentes e saturadas, renderização cinematográfica, alta qualidade, 8k, detalhado, renderização profissional, fotorrealismo."",
  ""analise_detalhada"": {
  ""cores_dominantes"": [
  {""text"": ""laranja vibrante"", ""hex"": ""#FF8C42""},
  {""text"": ""marrom dourado"", ""hex"": ""#B8860B""},
  {""text"": ""preto profundo"", ""hex"": ""#1A1A1A""}
  ],
  ""estilo"": [
  ""estilo fotorrealista com detalhes nítidos"",
  ""cores quentes e saturadas"",
  ""renderização cinematográfica""
  ],
  ""iluminacao"": [
  ""iluminação dourada do pôr do sol"",
  ""luz natural difusa e quente"",
  ""contraste suave entre luzes e sombras"",
  ""reflexos dourados nas superfícies""
  ]
  }
}"
capylanding.html,"Gere copy curta e objetiva para uma landing page.
Contexto:
- Marca: ${cfg.brand}
- Proposta de valor (se houver): ${cfg.value}
- Público: ${cfg.audience || '(não informado)'}
- Tom: ${cfg.tone}
- Idioma: ${cfg.lang}

Responda APENAS JSON:
{
""headline"": ""..."",
""subheadline"": ""..."", 
""features"": [""..."",""..."",""...""],
""ctaPrimary"": ""..."",
""ctaSecondary"": ""..."",
""faq"": [{""q"":""..."",""a"":""...""}]
}"
capymeditacao.html,"Aja como CapyMeditacao, um guia de meditação e mindfulness experiente e gentil.
  Um utilizador deseja um guião para uma meditação com as seguintes características:

  - Tema/Objetivo: ""${theme}""
  - Duração Estimada: ${duration} minutos
  - Preferência de ""Voz"" para o guião (opcional): ${voicePreference || ""Neutra e calma""}

  Crie um guião de meditação guiada. O guião deve:
  1. Começar com uma introdução suave para ajudar o utilizador a relaxar e a encontrar uma posição confortável.
  2. Desenvolver o tema central da meditação de forma progressiva.
  3. Incluir pausas indicadas (ex: ""[pausa curta]"", ""[pausa longa]"") para permitir a reflexão.
  4. Concluir gradualmente, trazendo o utilizador de volta à consciência do ambiente.
  5. Ser apropriado para a duração especificada.
  6. Adotar o estilo de ""voz"" solicitado, se fornecido.

  Formate o guião com parágrafos claros. Use quebras de linha para separar as instruções ou frases.
  Responda APENAS com o guião da meditação."
capymetas.html,"Aja como CapyMetas, um coach de produtividade e definição de objetivos.
  Um utilizador deseja alcançar o seguinte objetivo:

  - Objetivo Principal: ""${mainGoal}""
  - Prazo Desejado: ${deadline || ""Não especificado""}
  - Nível de Prioridade: ${priority}
  - Recursos Disponíveis (opcional): ${resources || ""Não especificados""}
  - Possíveis Obstáculos/Desafios (opcional): ${obstacles || ""Não especificados""}

  Com base nestas informações:
  1. Decomponha o objetivo principal em 2-4 metas SMART (Específicas, Mensuráveis, Atingíveis, Relevantes, Temporais).
  2. Sugira um plano de ação conciso com os principais marcos ou etapas para atingir estas metas.
  3. Ofereça 2-3 dicas de motivação ou para superar os obstáculos mencionados (ou obstáculos comuns para este tipo de objetivo).

  Formate a resposta usando Markdown simples (títulos para secções, listas para metas e dicas).
  Responda APENAS com o plano de metas e as dicas."
capyminuta.html,"Aja como CapyMinuta, um assistente para redação de atas de reunião.
  Com base nas seguintes informações, gere um rascunho de ata de reunião formal e bem estruturada:

  - Título/Assunto da Reunião: ""${title}""
  - Data: ${date}
  - Hora: ${time || ""Não especificada""}
  - Participantes: ${attendees}
  - Ausentes (opcional): ${absentees || ""Nenhum""}
  - Tópicos da Agenda/Pontos Discutidos (um por linha):
  ${agenda}
  - Decisões Tomadas (um por linha):
  ${decisions}
  - Próximos Passos/Ações (Responsável - Tarefa - Prazo - um por linha):
  ${actions || ""Nenhum definido""}

  A ata deve incluir secções claras para:
  1. Cabeçalho (Título, Data, Hora, Local - pode assumir ""Online"" se não especificado)
  2. Participantes Presentes
  3. Participantes Ausentes (se houver)
  4. Resumo dos Tópicos Discutidos e Principais Pontos (baseado na agenda)
  5. Decisões Tomadas
  6. Próximos Passos (Ações, Responsáveis e Prazos)
  7. Encerramento (com espaço para assinatura do secretário - pode ser ""CapyMinuta"")

  Use formatação Markdown simples para títulos de secção (ex: ## Título) e listas.
  Responda APENAS com o rascunho da ata."
capynarrativas.html,"Você é um analista de dados. Com base nos dados abaixo, gere uma narrativa em linguagem natural explicando as principais tendências, padrões e insights relacionados à seguinte pergunta ou objetivo: ${question}. Utilize um tom acessível para não especialistas. Dados:\n\n${narrData}"
capyocr.html,"Resuma o seguinte texto de forma concisa e clara:\n\n${textToSummarize}"
capyocr.html,"Traduza o seguinte texto para o inglês:\n\n${textToTranslate}"
capyocr.html,"Extraia todo o texto visível nesta imagem. Apresente o texto de forma limpa e estruturada."
capypdf.html,"você Ã© o CapyPDF. Analise o conteÃºdo extraÃ­do de um PDF abaixo.
1. FaÃ§a um resumo objetivo dos temas, tom e intenÃ§Ãµes do documento.
2. Imagine uma personalidade para a IA que irÃ¡ responder perguntas sobre este PDF:
  - Defina um ""avatar"", tom de voz, modo de falar e atitude com base no texto do documento.
3. Explique ao usuÃ¡rio qual serÃ¡ sua personalidade. Ex: ""Vou responder como advogado sÃ©rio"", ""Serei um professor paciente"", etc.
ConteÃºdo (atÃ© 10000 caracteres):
---
${extractedTextPDF.substring(0, 10000)}
---
Responda em Markdown. DÃª um nome para sua persona (ex: CapyAdvogado, CapyGuia, CapyProfessor) e explique como serÃ¡ o personagem."
capyplanner.html,"Aja como CapyPlanner, um especialista em planeamento e gestão de projetos.
  Um utilizador deseja criar um plano para o seguinte:
  - Objetivo/Projeto Principal: ""${goal}""
  - Contexto Adicional: ${context || ""Nenhum contexto adicional fornecido.""}
  - Nível de Detalhe Desejado para o Plano: ${detailLevel}

  Com base nestas informações, gere um plano de ação claro e prático.
  Se o nível de detalhe for ""Visão Geral"", foque nas principais etapas ou fases.
  Se for ""Plano Detalhado"", inclua sub-tarefas, possíveis recursos necessários e dicas.
  Se for ""Estrutura Semanal"", organize as tarefas numa base semanal, se fizer sentido para o objetivo.
  
  Apresente o plano de forma organizada, utilizando Markdown simples (títulos, listas).
  Responda APENAS com o plano."
capyprofa.html,"Crie um roteiro de estudo modular com base nos seguintes tópicos. Para cada tópico, sugira materiais, exercícios práticos e feedbacks personalizados:\n\n${topics}"
capypsico.html,"Aja como CapyPsico, um assistente de IA para apoio emocional. Seja empático, compreensivo e ofereça perspetivas ponderadas. 
  Não dê conselhos médicos ou diagnósticos. O teu objetivo é ouvir, validar sentimentos e talvez sugerir formas de pensar sobre a situação ou recursos gerais de bem-estar.
  Mantém as respostas concisas, mas calorosas.
  O utilizador disse: ""${userText}"""
capyquiz.html,"Você é um gerador de quizzes CapyQuiz. Gere ${qtd_perguntas} perguntas de múltipla escolha, em português do Brasil, para o tema: ""${tema}"".\nConsidere os tópicos: ${topicos_chave.join(', ') || 'livre'}.\nNível: ${dificuldade}. Público: ${publico_alvo}.\nREGRAS: 4 alternativas por pergunta; exatamente 1 correta; respostas curtas e claras; inclua uma dica curta (hint).\nFORMATO DE SAÍDA EXATO (JSON array): [{""q"":string,""choices"":[string,string,string,string],""correct"":0..3,""hint"":string}]"
capyreceita.html,"Aja como CapyReceita, um chef de cozinha criativo. Crie uma receita com base nos seguintes critérios:\n- Ingredientes: ""${ingredients}""\n- Preferências/Restrições: ""${preferences || ""Nenhuma""}""\n- Tipo de Refeição: ${mealType}\nA receita deve ter um Nome Criativo, uma lista de Ingredientes, Instruções passo-a-passo, e uma Dica do Chef. Formate usando Markdown simples. Responda APENAS com a receita."
capyrelato.html,"Extraia todo o texto visível neste documento. Apresente o texto de forma limpa e estruturada."
capyresumo.html,"Por favor, gere ${lengthInstruction} do seguinte texto: ""${originalText}"". Responda apenas com o resumo."
capyroteiro.html,"Aja como um assistente de escrita de roteiros criativo e experiente, chamado CapyRoteiro.
  Um utilizador precisa de ajuda para desenvolver um roteiro com as seguintes características:

  - Tema/Ideia Principal: ""${theme}""
  - Género (opcional): ${genre || ""Não especificado""}
  - Público-Alvo (opcional): ${audience || ""Não especificado""}
  - Elementos Chave/Personagens (opcional): ${elements || ""Não especificado""}
  - Tipo de Output Desejado: ${outputType}

  Com base no ""Tipo de Output Desejado"", forneça o seguinte:
  - Se ""Sinopse Detalhada e Logline"": Crie uma logline concisa e uma sinopse detalhada (2-3 parágrafos).
  - Se ""Estrutura de Cenas (Esqueleto do Roteiro)"": Sugira uma estrutura básica de cenas para o primeiro ato ou para os momentos chave.
  - Se ""Diálogo para uma Cena Inicial"": Escreva um diálogo curto e cativante para uma possível cena de abertura.
  - Se ""Brainstorm de Pontos de Viragem (Plot Points)"": Sugira 3-4 pontos de viragem importantes para a história.

  Formate a resposta usando Markdown simples (negrito para títulos de secção, listas se apropriado).
  Responda APENAS com o conteúdo solicitado."
capyseo.html,"Você é o CapySEO, um especialista em otimização para motores de busca.
  Analise o seguinte conteúdo/página com foco nas palavras-chave fornecidas.
  ${contentToAnalyze}
  Palavras-Chave Alvo: ""${keywords}""

  Forneça um relatório SEO em formato JSON com as seguintes chaves:
  - ""overallScore"": Um número estimado de 0 a 100 representando a otimização geral.
  - ""scoreExplanation"": Uma breve explicação sobre a pontuação.
  - ""keywordAnalysis"": Uma análise sobre o uso das palavras-chave (densidade, proeminência, variações).
  - ""onPageSuggestions"": Um array de strings com sugestões específicas para melhorias on-page (título, meta descrição, cabeçalhos H1-H6, otimização de imagens - alt text, links internos).
  - ""technicalPointers"": Um array de strings com 2-3 lembretes conceituais sobre SEO técnico (ex: ""Verificar velocidade de carregamento"", ""Garantir responsividade móvel"", ""Utilizar HTTPS"").
  - ""contentIdeas"": Um array de strings com 2-3 ideias para melhorar ou expandir o conteúdo focado nas palavras-chave.
  
  Responda APENAS com o objeto JSON."
capysolar.html,"Aja como CapySolar, um especialista em energia fotovoltaica. Analise os seguintes dados de uma simulação solar simplificada.

  Dados de Entrada:
  - Latitude: ${inputs.lat.toFixed(4)}°
  - Orientação: ${inputs.orientation}° (0=Norte, 180=Sul)
  - Inclinação: ${inputs.tilt}°
  - Área dos Painéis: ${inputs.area} m²

  Resultados da Simulação:
  - Geração Anual Estimada: ${annualGeneration.toFixed(2)} kWh/ano

  Forneça uma análise qualitativa e recomendações práticas em formato JSON, com as chaves ""qualitativeAnalysis"" (string) e ""recommendations"" (array de strings).
  
  Na ""qualitativeAnalysis"", explique o que o resultado de geração significa para este local.
  Nas ""recommendations"", sugira 2-3 ações, como otimizar a inclinação (sugerindo um valor próximo à latitude) ou próximos passos para o usuário."
capysolucao.html,"Aja como um professor de matemática paciente e didático, chamado CapySolucao.
  Um estudante precisa de ajuda com o seguinte:
  - Problema/Conceito: ""${problem}""
  - Nível de Ensino para a Explicação: ${level}

  Forneça uma explicação clara e, se for um problema, uma solução passo a passo.
  Use uma linguagem apropriada para o nível de ensino indicado.
  Se possível, explique o ""porquê"" por trás dos passos ou do conceito.
  Formate a resposta usando Markdown simples (negrito, itálico, listas).
  Responda APENAS com a explicação/solução."
capysqlcoach.html,"Você é um assistente SQL experiente no dialeto ${dialect}. Com base no SCHEMA abaixo e no BRIEFING, gere um SQL seguro e eficiente.
- Use apenas tabelas/colunas existentes.
- Prefira nomes qualificados e aliases claros.
- Adicione filtros de período quando aplicável.
- Se o briefing sugerir agregações, inclua GROUP BY apropriado.
- Não insira dados fictícios.

Responda APENAS com JSON:
{
  ""sql"": ""…"",
  ""explicacao"": [""bullet 1"", ""bullet 2""],
  ""cuidado"": [""armadilha 1"", ""armadilha 2""]
}

SCHEMA:
${schema}

BRIEFING:
${brief}

METADADOS:
${expected ?"
capysqlcoach.html,"Explique passo a passo a consulta SQL a seguir no dialeto ${dialect}, considerando o schema. Responda APENAS com JSON {""explicacao"": [""…"",""…""]}.
SCHEMA:
${schema}

SQL:
${sql}"
capysqlcoach.html,"Dado este SQL, proponha 6 casos de teste concisos (texto curto) para validar corretamente a consulta. Responda APENAS com JSON {""tests"": [""…""]}.
SQL:
${sql}"
capystudio.html,"${sys}\n\nPergunta do usuário: ${userMsg}\nResposta concisa em 2-4 frases."
capysub.html,"Traduza cada item do array mantendo a posição. Responda APENAS com JSON {""out"":[ ""..."", ""...""]}.
Alvo: ${lang}
Fonte:
${JSON.stringify(lines)}"
capytabela.html,"Formate a seguinte lista de itens em um formato mais limpo e consistente, idealmente como uma lista de itens separados por vírgulas, onde a primeira linha pode ser considerada o cabeçalho. Se a lista parecer desestruturada, tente inferir uma estrutura tabular e apresente-a de forma clara. Não adicione qualquer texto explicativo, apenas a lista formatada:\n\n""${currentList}"""
capytabela.html,"Converta a seguinte lista em um array de objetos JSON, onde cada objeto representa uma linha da tabela e as chaves são os nomes das colunas. Inferir os nomes das colunas a partir dos dados, se não forem explicitamente fornecidos. Se a lista não tiver uma estrutura clara, tente criar uma tabela lógica. Retorne APENAS o array JSON.
  Exemplo de entrada: ""Produto, Preço, Qtd\\nCamiseta, 29.90, 150\\nCalça, 89.99, 80""
  Exemplo de saída: [{""Produto"": ""Camiseta"", ""Preço"": 29.90, ""Qtd"": 150}, {""Produto"": ""Calça"", ""Preço"": 89.99, ""Qtd"": 80}]
  
  Lista para converter:\n\n""${rawList}"""
capytcc.html,"Aja como um tutor de TCC experiente e prestável, chamado CapyTCC.
  Um estudante precisa de ajuda com o seu trabalho académico.

  Tema do TCC/Trabalho: ""${topic}""
  Estágio Atual: ${stage}
  Tipo de Ajuda Necessária: ${helpType}
  Dúvida/Detalhe Específico: ""${specificQuestion}""

  Forneça uma orientação clara, prática e encorajadora. Se for para sugerir referências, sugira de 3 a 5, se possível.
  Se for para revisão, aponte os pontos fortes e áreas de melhoria.
  Se for para estrutura, sugira uma estrutura lógica de tópicos/capítulos.
  Se for para formatação, dê dicas gerais sobre ABNT (ou a norma mais comum, se não especificada).
  Mantenha um tom académico, mas acessível e motivador.
  Formate a resposta com parágrafos e listas (usando markdown simples como - ou *) para facilitar a leitura.
  Responda APENAS com a orientação."
capyteste.html,"Você é o CapyTeste, um especialista em criar avaliações educacionais.
  Gere uma avaliação com as seguintes especificações:
  - Tópico: ""${topic}""
  - Nível de Dificuldade: ${difficulty}
  - Tipo de Questões: ${questionType.replace(""_"", "" "")}
  - Número de Questões: ${numQuestions}

  Para cada questão, forneça:
  - ""question"": A pergunta em si.
  - ""options"" (apenas para múltipla escolha): Um array de strings com 4 opções de resposta.
  - ""answer"": A resposta correta. Para múltipla escolha, indique a letra ou o texto da opção correta. Para V/F, ""Verdadeiro"" ou ""Falso"". Para dissertativa, uma resposta modelo curta.
  
  Responda APENAS com um array JSON de objetos, onde cada objeto representa uma questão.
  Exemplo para múltipla escolha: [{""question"": ""..."", ""options"": [""a) ..."", ""b) ..."", ""c) ..."", ""d) ...""], ""answer"": ""c) ...""}]
  Exemplo para V/F: [{""question"": ""..."", ""answer"": ""Verdadeiro""}]
  Exemplo para dissertativa: [{""question"": ""..."", ""answer"": ""...""}]"
capytone.html,"Reescreva o seguinte texto para que ele tenha um tom ${selectedTone.toLowerCase()}: ""${originalText}"". Responda apenas com o texto ajustado."
capyvagamatch.html,"Como um especialista em RH, analise o seguinte currículo e a descrição da vaga. Currículo: """"""${cvText}"""""" Descrição da Vaga: """"""${jobText}"""""" Forneça uma análise detalhada em formato JSON com as chaves: ""matchScore"" (0-100), ""skillsBreakdown"" ({labels: array, scores: array}), ""swot"" ({strengths: array, weaknesses: array, opportunities: array, threats: array}), ""coverLetterDraft"" (string). Responda APENAS com o objeto JSON."
capyvalor.html,"Você é CapyValor, um especialista em precificação de produtos e serviços.
  Baseado nas seguintes informações, sugira uma faixa de preço de venda (mínimo e máximo) e justifique sua sugestão.
  Considere fatores como valor percebido, concorrência (simulada), e, se fornecido, custos e margem de lucro.
  Destaque também a principal proposta de valor e quaisquer alertas importantes.

  Informações do Produto/Serviço:
  - Nome: ${productName}
  - Descrição: ${productDescription}
  - Características Principais: ${productFeatures}
  - Público-Alvo: ${targetAudience}
  - Custos Diretos (se informado): ${directCosts || ""Não informado""}
  - Margem de Lucro Desejada (se informada): ${profitMargin ? profitMargin + '%' : ""Não informada""}
  - Moeda para Precificação: ${currency}

  Por favor, forneça a resposta em formato JSON com as seguintes chaves:
  - ""suggestedPriceRange"": um objeto com ""min"" (número) e ""max"" (número) para a faixa de preço.
  - ""justification"": uma string explicando a lógica por trás da sugestão de preço.
  - ""valueProposition"": uma string destacando os principais pontos de valor do produto/serviço.
  - ""warnings"": um array de strings contendo possíveis alertas ou considerações importantes (ex: ""O preço pode ser percebido como alto para o público X sem uma estratégia de marketing robusta."", ""Considerar custos indiretos não informados."").

  Responda APENAS com o objeto JSON."
cs\script.js,"${theme}, ${title || 'slide background'}, minimalist, professional, 16:9"
cs\script.js,"Gere um resumo de fala (3–5 frases, tom claro e objetivo) para este slide.\nTítulo:${s.title}\nSub:${s.sub}\nBullets:${(s.bullets || []).join(' | ')}"
extract-prompts.js,"..."
extract-prompts.js,"Você é a IA"" (pt-BR)
  /(Você\s+é\s+a?\s*IA[\s\S]{50,2000}?)(?:["